Timestamp,Do you believe in a personal God?,"How would you categorize yourself, religiously speaking",How often do you voluntarily attend religious services?,How would you categorize your beliefs?,Supernatural forces exist which cannot be directly addressed by science,"We can relate to God personally, as opposed to an impersonal force",God (or gods) communicate by divine revelation to humans,Holy scriptures are a reliable source of divine truth,Unrighteousness or wrongdoing will be punished in the afterlife,What is your primary programming language used at work (if any)?,What is your favorite programming language?,How many years have you been programming?,Righteousness is rewarded in the afterlife,God communicates to people in ways we can clearly understand,Holy scriptures are a reliable source of practical guidance for everyday life,All people will eventually be reconciled with or joined to God,I have personally had a supernatural spiritual experience,God loves everybody,How many years have you been programming professionally?,How would you describe your education?,Human beings are basically or inherently good,Human suffering in this life is caused by sin or unrighteousness,"Human beings were specially created in their present form, apart from natural processes",Naturalistic theories are insufficient to account for the origin and complexity of life,Feedback
4/25/2014 8:38:20,,,Never,"Agnostic, Atheist, Humanist",1,1,,1,1,"Clojure, Ruby",Clojure,20,1,1,4,1,2,1,12,Some higher education,,,,,
4/25/2014 11:44:09,,,Never,Atheist,1,1,,1,1,"Python, Clojure",Clojure,4,1,1,2,1,1,1,1,Some post-graduate education,,,,,
4/25/2014 12:42:14,,,More than twice a week,cthulu,,,,1,5,c++,java,4,5,5,1,1,5,1,1,Bachelor's degree,,,,,
4/25/2014 12:42:22,,,,Muslim,,,,,,,C++,15,,,,,,,,,,,,,
4/25/2014 12:38:10,,,Never,"Liberal, Agnostic",2,1,,1,1,Python,Haskell,1,2,1,3,1,1,1,1,Some or no formal education,,,,,
4/25/2014 12:39:19,,,Never,"Conservative, Agnostic",4,1,,1,3,C++,Rust,3,3,1,1,3,1,3,1,Some higher education,,,,,
4/25/2014 11:47:18,,,At least once a week,Christian,5,5,,5,5,Clojure,Lua,20,5,5,5,1,5,5,5,Some higher education,,,,,
4/25/2014 12:43:55,,,Never,Atheist,1,1,,1,1,C++,Haskell,34,1,1,1,1,1,1,20,Graduate degree,,,,,
4/25/2014 12:45:18,,,Never,Humanist,2,2,,2,2,C#,C#,15,2,2,3,1,2,4,,Bachelor's degree,,,,,
4/25/2014 12:47:57,,,Never,"Agnostic, Atheist",2,1,,1,3,C,Ruby,15,3,1,2,1,1,1,6,Bachelor's degree,,,,,
